0 0 0
 2.78088e-17  1.00901e-16 -2.34323e-17
  -0.0249265 -0.000119184      9.67169
   -0.024499 -0.000120225      9.67592
  -0.0258776 -9.00926e-05      9.68071
  -0.0253379 -9.30128e-05      9.68476
  -0.0248107 -9.64178e-05      9.68872
  -0.0242953 -9.88288e-05      9.69261
  -0.0237911 -0.000101151      9.69643
  -0.0232975 -0.000103328      9.70017
  -0.0228138 -0.000105365      9.70383
  -0.0223396 -0.000107233      9.70742
  -0.0218744 -0.000108948      9.71093
  -0.0232292 -7.33974e-05      9.71502
  -0.0226515 -7.72427e-05      9.71836
  -0.0220875 -8.09306e-05      9.72162
  -0.0215366 -8.43277e-05      9.72481
  -0.0209981 -8.83755e-05      9.72793
  -0.0204713 -9.15517e-05      9.73098
  -0.0199556 -9.45813e-05      9.73396
  -0.0194505 -9.73853e-05      9.73686
  -0.0207892 -5.60813e-05      9.74038
  -0.0201705 -6.12549e-05      9.74313
  -0.0195671 -6.61745e-05       9.7458
  -0.0189782 -7.08235e-05      9.74841
  -0.0184031 -7.52091e-05      9.75096
  -0.0178412 -7.93713e-05      9.75345
  -0.0172919 -8.33124e-05      9.75587
  -0.0167543 -8.70207e-05      9.75823
  -0.0180535 -3.88906e-05      9.76122
  -0.0174014 -4.52723e-05      9.76342
  -0.0167658 -5.12627e-05      9.76557
  -0.0161459 -5.70119e-05      9.76766
  -0.0155411 -6.24554e-05      9.76969
  -0.0149506 -6.75598e-05      9.77167
  -0.0143738 -7.24183e-05      9.77359
   -0.015636 -1.40797e-05      9.77618
  -0.0149424 -2.20412e-05      9.77795
  -0.0142671 -2.96286e-05      9.77968
  -0.0136091 -3.67954e-05      9.78135
  -0.0129678 -4.35637e-05      9.78298
 -0.0142456 3.40824e-05     9.78535
 -0.0134821 2.32439e-05     9.78683
 -0.0127397 1.29614e-05     9.78827
 -0.0120174 2.24199e-06     9.78966
  -0.0113146 -6.79064e-06      9.79101
  -0.0106303 -1.53897e-05      9.79232
-0.0118222 9.7536e-05    9.79442
 -0.0110115 8.29767e-05     9.79558
 -0.0102238 6.91112e-05     9.79672
-0.00945822 5.58983e-05     9.79781
 -0.0104812 0.000218298     9.79979
-0.00958964 0.000196076     9.80074
-0.00872414 0.000173535     9.80166
-0.00788373 0.000153086     9.80254
-0.00706764 0.000133712     9.80339
-0.00627488 0.000115251     9.80421
-0.00645756 0.000124093     9.80588
-0.00557955 0.000104008     9.80656
-0.00472642 8.48308e-05     9.80721
 -0.0038975 6.65447e-05     9.80783
-0.00309182 4.90344e-05     9.80843
-0.00230884 3.23963e-05       9.809
-0.00154768 1.65024e-05     9.80954
-0.000807717  1.41062e-06      9.81006
-8.83819e-05 -1.29925e-05      9.81056
 0.000611183 -2.66727e-05      9.81103
   0.0012916 -3.97048e-05      9.81148
  0.00195333 -5.20834e-05      9.81191
   0.0025968 -6.38183e-05      9.81232
  0.00322304 -7.49588e-05       9.8127
  0.00383236 -8.55138e-05      9.81306
  0.00442523 -9.55324e-05      9.81341
